Brand Name,Meal Type,item_name,Calories,Protein_values,Total Fat_values,Total Carbohydrate_values,carbs_calories,protein_calories,fat_calories,f_c_p,pct_fat,pct_carbs,pct_protein,Source URL
Kroger,Energy/Nutritional Drinks,Fortify Plus Vanilla Nutrition Shake,350,13.0,11.0,50.0,200.0,52.0,99.0,351.0,0.28205128205128205,0.5698005698005698,0.14814814814814814,https://www.calorieking.com/us/en/foods/f/calories-in-energynutritional-drinks-fortify-plus-vanilla-nutrition-shake/OY5_WWAuSiqCxpBltk48HA
Food Lion,Soups,"Chicken & Stars Condensed Soup, canned",70,3.0,2.0,10.0,40.0,12.0,18.0,70.0,0.2571428571428571,0.5714285714285714,0.17142857142857143,https://www.calorieking.com/us/en/foods/f/calories-in-soups-chicken-stars-condensed-soup-canned/-08m-Hs7StyoMwOH485PPg
Food Lion,Frozen Meals,"Chicken Sandwich, Hot & Spicy",420,18.0,15.0,53.0,212.0,72.0,135.0,419.0,0.3221957040572792,0.5059665871121718,0.1718377088305489,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-chicken-sandwich-hot-spicy/hjywDj2yRaqzGphTkYL9XQ
Food Lion,Frozen Pizzas,"Bake & Rise Crust Pizza, Pepperoni",320,13.0,12.0,40.0,160.0,52.0,108.0,320.0,0.3375,0.5,0.1625,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-bake-rise-crust-pizza-pepperoni/wiuTri5PSYaNOK-CLsJFFA
Food Lion,Soups,Condensed Chicken Noodle Soup,60,3.0,2.0,9.0,36.0,12.0,18.0,66.0,0.2727272727272727,0.5454545454545454,0.18181818181818182,https://www.calorieking.com/us/en/foods/f/calories-in-soups-condensed-chicken-noodle-soup/YQvaVuERRFmi2sFFvYvl9w
Food Lion,Packaged Meals,Deluxe Shells & Cheddar Dinner With Cheddar Cheese Sauce,370,11.0,13.0,52.0,208.0,44.0,117.0,369.0,0.3170731707317073,0.5636856368563685,0.11924119241192412,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-deluxe-shells-cheddar-dinner-with-cheddar-cheese-sauce/OyUnRp1jR4qyrnK_5skMrQ
Food Lion,Frozen Pizzas,Microwaveable Crispy Thin Crust Pizza,360,13.0,13.0,49.0,196.0,52.0,117.0,365.0,0.32054794520547947,0.536986301369863,0.14246575342465753,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-microwaveable-crispy-thin-crust-pizza/e2Iiza0dQ3i3_vZGgHvvYg
Food Lion,Milk & Flavored Milk,Chocolate Milk,210,8.0,8.0,27.0,108.0,32.0,72.0,212.0,0.33962264150943394,0.5094339622641509,0.1509433962264151,https://www.calorieking.com/us/en/foods/f/calories-in-milk-flavored-milk-chocolate-milk/sUJA_vCJRfSxPV-DBFw6kw
Food Lion,Frozen Pizzas,Supreme Crispy Thin Crust Pizza,350,10.0,13.0,47.0,188.0,40.0,117.0,345.0,0.3391304347826087,0.5449275362318841,0.11594202898550725,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-supreme-crispy-thin-crust-pizza/3cvo9jTEQvyv2mhtcb8M_A
Food Lion,"Breakfast Cereals, Ready To Eat","Granola, Old-Fashioned Rolled Oats, Protein Oat & Honey",420,20.0,12.0,60.0,240.0,80.0,108.0,428.0,0.2523364485981308,0.5607476635514018,0.18691588785046728,https://www.calorieking.com/us/en/foods/f/calories-in-breakfast-cereals-ready-to-eat-granola-old-fashioned-rolled-oats-protein-oat-honey/PPjF5CrOSrCNVJ1gphYfpw
Food Lion,Frozen Pizzas,"The Grillmaster, Bbq Chicken Pizza",340,15.0,11.0,45.0,180.0,60.0,99.0,339.0,0.2920353982300885,0.5309734513274337,0.17699115044247787,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-the-grillmaster-bbq-chicken-pizza/amBW5_7ARteeQF6fdhjZlw
Food Lion,Soups,Classic Condensed Chicken Noodle Soup,70,3.0,2.0,9.0,36.0,12.0,18.0,66.0,0.2727272727272727,0.5454545454545454,0.18181818181818182,https://www.calorieking.com/us/en/foods/f/calories-in-soups-classic-condensed-chicken-noodle-soup/cHOK2lCWQ5yNL5-x3Kai6w
Food Lion,Frozen Pizzas,"Crispy Thin Crust Pizza, Cheese",360,13.0,13.0,49.0,196.0,52.0,117.0,365.0,0.32054794520547947,0.536986301369863,0.14246575342465753,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-crispy-thin-crust-pizza-cheese/bRSMrLv0SkGbvQE0HAqxow
Food Lion,Frozen Meals,"Breaded Chicken Sandwich, frozen",410,18.0,13.0,54.0,216.0,72.0,117.0,405.0,0.28888888888888886,0.5333333333333333,0.17777777777777778,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-breaded-chicken-sandwich-frozen/ODGp3Rr5QweKdfXxiW4eRw
Food Lion,Packaged Meals,"Deluxe Macaroni & Cheese Dinner, Sharp Cheddar",330,12.0,9.0,48.0,192.0,48.0,81.0,321.0,0.2523364485981308,0.5981308411214953,0.14953271028037382,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-deluxe-macaroni-cheese-dinner-sharp-cheddar/7eyUxzbWS92x6Qcy6SQGIQ
Food Lion,Canned Meals,"Beef Ravioli, In Tomato & Meat Sauce, canned",220,7.0,7.0,31.0,124.0,28.0,63.0,215.0,0.2930232558139535,0.5767441860465117,0.13023255813953488,https://www.calorieking.com/us/en/foods/f/calories-in-canned-meals-beef-ravioli-in-tomato-meat-sauce-canned/nF3FOza0QYu11UTFe83VXg
Food Lion,Soups,Condensed Cream Of Chicken Soup,70,3.0,2.5,9.0,36.0,12.0,22.5,70.5,0.3191489361702128,0.5106382978723404,0.1702127659574468,https://www.calorieking.com/us/en/foods/f/calories-in-soups-condensed-cream-of-chicken-soup/MwsUiBnCSV-x3wZEfPDPWg
Food Lion,Frozen Meals,"Stuffed Sandwiches, Ham & Cheese, frozen",320,11.0,12.0,40.0,160.0,44.0,108.0,312.0,0.34615384615384615,0.5128205128205128,0.14102564102564102,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-stuffed-sandwiches-ham-cheese-frozen/wIpAfJ24QEm2K4UUjJNZpQ
Food Lion,Frozen Pizzas,Four Cheese Bake & Rise Crust Pizza,300,13.0,9.0,40.0,160.0,52.0,81.0,293.0,0.2764505119453925,0.5460750853242321,0.17747440273037543,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-pizzas-four-cheese-bake-rise-crust-pizza/XOsiuvKpQJSix3fAfCjC4Q
Food Lion,Packaged Meals,"Deluxe Macaroni & Cheese Dinner, Original",330,11.0,10.0,47.0,188.0,44.0,90.0,322.0,0.2795031055900621,0.5838509316770186,0.13664596273291926,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-deluxe-macaroni-cheese-dinner-original/mPIZCld3RSe-56IYF_Gg_A
Food Lion,Frozen Meals,"Mini Pizza Bagels, Pepperoni",53,2.5,1.5,7.3,29.2,10.0,13.5,52.7,0.25616698292220114,0.5540796963946869,0.18975332068311193,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-mini-pizza-bagels-pepperoni/MkheyyZkT8GwR4l3kkrZFA
Food Lion,Soups,"Mini Beef Ravioli, In Tomato & Meat Sauce, canned",220,7.0,7.0,32.0,128.0,28.0,63.0,219.0,0.2876712328767123,0.5844748858447488,0.1278538812785388,https://www.calorieking.com/us/en/foods/f/calories-in-soups-mini-beef-ravioli-in-tomato-meat-sauce-canned/I5zuByjlSkSl8XAj0u9xgQ
Amy's,Frozen Meals,"Bean & Cheese Burrito, frozen",310,11.0,9.0,46.0,184.0,44.0,81.0,309.0,0.2621359223300971,0.5954692556634305,0.1423948220064725,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-bean-cheese-burrito-frozen/4ac3MXq-ST2fqG4Al37FlA
Amy's,Frozen Meals,"Light in Sodium Black Bean Vegetable Enchilada, frozen",160,5.0,6.0,22.0,88.0,20.0,54.0,162.0,0.3333333333333333,0.5432098765432098,0.12345679012345678,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-light-in-sodium-black-bean-vegetable-enchilada-frozen/kpnMhhDyT72mnaikOpBuSQ
Banquet,Frozen Meals,"Boneless Pork Ribs Dinner, frozen",320,15.0,11.0,42.0,168.0,60.0,99.0,327.0,0.30275229357798167,0.5137614678899083,0.1834862385321101,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-boneless-pork-ribs-dinner-frozen/KFMg6wt2SSO-Fku4_5VCJg
Banquet,Frozen Meals,"Lasagna, with Meat Sauce Dinner, frozen",250,12.0,7.0,34.0,136.0,48.0,63.0,247.0,0.2550607287449393,0.5506072874493927,0.19433198380566802,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-lasagna-with-meat-sauce-dinner-frozen/XhMTBUVlRJucHb5VHhItXw
Banquet,Frozen Meals,"Sweet & Sour Chicken, frozen",390,10.0,14.0,56.0,224.0,40.0,126.0,390.0,0.3230769230769231,0.5743589743589743,0.10256410256410256,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-sweet-sour-chicken-frozen/UThj-z_qRbWwHio0HpQEtw
EVOL,Frozen Meals,"Egg & Potato Burrito, frozen",440,17.0,13.0,63.0,252.0,68.0,117.0,437.0,0.26773455377574373,0.5766590389016019,0.15560640732265446,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-egg-potato-burrito-frozen/LPqKq9TtQv-bS6TCr3gGow
Devour,Frozen Meals,"Chicken & Waffles, frozen",620,24.0,21.0,83.0,332.0,96.0,189.0,617.0,0.3063209076175041,0.5380875202593193,0.15559157212317667,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-chicken-waffles-frozen/i96fluwBTNG_0Mt_B2XfzA
Devour,Frozen Meals,"Chicken & Waffles, frozen",620,24.0,21.0,83.0,332.0,96.0,189.0,617.0,0.3063209076175041,0.5380875202593193,0.15559157212317667,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-chicken-waffles-frozen/i96fluwBTNG_0Mt_B2XfzA
Macaroni & Cheese (Kraft),Packaged Meals,"Deluxe Original Cheddar Macaroni & Cheese Dinner, dry",320,12.0,10.0,45.0,180.0,48.0,90.0,318.0,0.2830188679245283,0.5660377358490566,0.1509433962264151,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-deluxe-original-cheddar-macaroni-cheese-dinner-dry/ty_9mvQQRsOWG2g8wT79GQ
Lean Cuisine,Frozen Meals,"Origins, Linguine with Ricotta & Spinach Meatless Meatballs",280,11.0,8.0,40.0,160.0,44.0,72.0,276.0,0.2608695652173913,0.5797101449275363,0.15942028985507245,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-origins-linguine-with-ricotta-spinach-meatless-meatballs/N1HoJST5SOm8JqJeHTT67Q
Trader Joe's,Frozen Meals,Black Bean & Cheese Taquito,190,5.0,7.0,26.0,104.0,20.0,63.0,187.0,0.33689839572192515,0.5561497326203209,0.10695187165775401,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-black-bean-cheese-taquito/VDqIyGLxRn2BU5SZvvKTbA
Trader Joe's,Packaged Meals,"Macaroni and Cheese, prepared as directed",360,11.0,13.0,49.0,196.0,44.0,117.0,357.0,0.3277310924369748,0.5490196078431373,0.12324929971988796,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-macaroni-and-cheese-prepared-as-directed/xc5DJsgSTUWWvUjdGcSSxQ
Oscar Mayer,Packaged Meals,Pizza Lunchables with Pepperoni & Capri Sun Fruit Punch (6 fl.oz),420,16.0,14.0,60.0,240.0,64.0,126.0,430.0,0.2930232558139535,0.5581395348837209,0.14883720930232558,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-pizza-lunchables-with-pepperoni-capri-sun-fruit-punch-6-floz/JHIrBncyQ7Cez5TO3b7vKw
Oscar Mayer,Packaged Meals,Turkey & Cheddar Cheese Sub Sandwich Lunchables with Crispy Rice Treat,240,10.0,7.0,35.0,140.0,40.0,63.0,243.0,0.25925925925925924,0.5761316872427984,0.1646090534979424,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-turkey-cheddar-cheese-sub-sandwich-lunchables-with-crispy-rice-treat/KxE7DVctRJiqfIzni0U8Qg
Oscar Mayer,Packaged Meals,Ham & American Cheese Sub Sandwich Lunchables with Crispy Rice Treat,250,11.0,7.0,34.0,136.0,44.0,63.0,243.0,0.25925925925925924,0.5596707818930041,0.18106995884773663,https://www.calorieking.com/us/en/foods/f/calories-in-packaged-meals-ham-american-cheese-sub-sandwich-lunchables-with-crispy-rice-treat/mLP0xvnvS6y_1y4msfMCAg
Birds Eye,Frozen Meals,"Voila!, Garlic Chicken Meal, frozen",144,6.6,4.8,17.4,69.6,26.4,43.199999999999996,139.2,0.3103448275862069,0.5,0.18965517241379312,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-voila-garlic-chicken-meal-frozen/XIRWZcidQImuebeNGO9GBQ
Birds Eye,Frozen Meals,"Steamfresh, Asian Medley Vegetables, frozen",56,1.9,2.0,6.7,26.8,7.6,18.0,52.4,0.3435114503816794,0.5114503816793894,0.1450381679389313,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-steamfresh-asian-medley-vegetables-frozen/xL-FlFUpQqididcljF0c2g
Birds Eye,Frozen Meals,"Steamfresh, Broccoli with Cheese Sauce, frozen",51,1.6,1.8,6.0,24.0,6.4,16.2,46.599999999999994,0.3476394849785408,0.5150214592274679,0.13733905579399144,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-steamfresh-broccoli-with-cheese-sauce-frozen/s-Gav0rURzK0j28F8tJcKQ
Birds Eye,Frozen Meals,"Pearl Onions in A Real Cream Sauce, frozen",96,2.5,3.4,12.8,51.2,10.0,30.599999999999998,91.8,0.3333333333333333,0.5577342047930284,0.10893246187363835,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-pearl-onions-in-a-real-cream-sauce-frozen/ZWufma2OS66nIT8JecN-OA
Birds Eye,Frozen Meals,"Steamfresh, Rotini & Vegetables with Garlic Butter Sauce, frozen",63,1.7,2.1,9.4,37.6,6.8,18.900000000000002,63.3,0.29857819905213273,0.5939968404423381,0.10742496050552923,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-steamfresh-rotini-vegetables-with-garlic-butter-sauce-frozen/046qRDzRQlaiv5sJfo9Qqw
Birds Eye,Frozen Meals,"Voila!, Beef & Broccoli Stir Fry Meal, frozen",120,5.7,3.4,15.5,62.0,22.8,30.599999999999998,115.39999999999999,0.2651646447140381,0.537261698440208,0.19757365684575393,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-voila-beef-broccoli-stir-fry-meal-frozen/nxbuF68FQ4WWR5e3sdKS8g
Birds Eye,Frozen Meals,"Steamfresh, Marsala Vegetables with Wine Butter Sauce, frozen",66,2.7,2.7,9.3,37.2,10.8,24.3,72.3,0.3360995850622407,0.5145228215767635,0.14937759336099588,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-steamfresh-marsala-vegetables-with-wine-butter-sauce-frozen/KTBU7GmvQUKZ9mbj-HCTAQ
Birds Eye,Frozen Meals,"Steamfresh, Broccoli, Cauliflower & Carrots with Cheese Sauce, frozen",69,1.7,2.4,9.1,36.4,6.8,21.599999999999998,64.8,0.3333333333333333,0.5617283950617284,0.10493827160493828,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-steamfresh-broccoli-cauliflower-carrots-with-cheese-sauce-frozen/qqlD4KtTSaiVXARzwcnT_g
Birds Eye,Frozen Meals,"Steamfresh, Penne & Vegetables with Alfredo Sauce, frozen",105,3.5,3.3,14.7,58.8,14.0,29.7,102.5,0.2897560975609756,0.5736585365853658,0.13658536585365855,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-steamfresh-penne-vegetables-with-alfredo-sauce-frozen/ZK2OdmhGTk6pINm0C_b7pA
Birds Eye,Frozen Meals,"Steamfresh, Italian Green Beans with Garlic Parmesan Sauce, frozen",120,4.0,3.0,14.0,56.0,16.0,27.0,99.0,0.2727272727272727,0.5656565656565656,0.16161616161616163,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-steamfresh-italian-green-beans-with-garlic-parmesan-sauce-frozen/fKtcy-76Se-uPX1crowAhA
Birds Eye,Frozen Meals,"Voila!, Garlic Shrimp Meal, frozen",120,4.5,4.5,15.0,60.0,18.0,40.5,118.5,0.34177215189873417,0.5063291139240507,0.1518987341772152,https://www.calorieking.com/us/en/foods/f/calories-in-frozen-meals-voila-garlic-shrimp-meal-frozen/Kf2JosI2RaGA4X4TNemosA
